Timestamp,Email Address,Student ID,Full Name,Major(s),Minor(s),Graduation Year,Pronouns,Gender,Race & Ethnicity,Resume,Other Links (optional),Role,"What is important to you? Tell us about a problem you see in the world (big or small), what actions you’ve taken to make a positive impact, and what you learned.",Community is a core pillar of CTC. Tell us about a community you felt like you truly belonged to. What aspects do you hope to bring into the CTC family?,Write a short thank-you note acknowledging someone who has taught you something valuable and why it mattered (not a family member).,"Please briefly describe any relevant technical or group work experiences—it does not need to be extensive! For example, personal projects, internships, classes, or any technologies or projects that you’re excited about and would like to learn more about, etc.","At CTC, one of our favorite traditions is Lightning Talks, where a member gives a short presentation on an interest, passion, or hobby of theirs—some topics from last year were how to DJ, a self defense workshop, and all about Niki Zefanya. What would you give a lightning talk on and why?","Please list out any relevant classes you have taken so far or are taking at USC. Also, list out any planned commitments for the current school year and their estimated weekly time commitment."
8/1/2026 8:00:16,yara.lindgren@usc.edu,9684988562,Yara Lindgren,Statistics,,2027,she/her/hers,Female,Asian,https://drive.google.com/open?id=1U6V_pa0ba8rkEjHLWPIBFh1VsvHhncHs,https://www.linkedin.com/in/yaralindgren/,Developer,"Unclaimed produce at the farmers market is small compared to what people usually write about here, which is exactly why nobody had fixed it. It is the kind of problem that never becomes urgent enough to fix, so it just quietly costs people hours every week forever. I started a weekly pickup that routes leftovers to a shelter downtown. I learned that a solution nobody adopts is worth less than no solution at all.","The community I belonged to was a debate circuit that travelled by van, and it took me a year to notice it had become one. There was no hierarchy to speak of, which sounds idealistic and was mostly just practical: whoever knew how to do the thing did the thing, and taught the next person. The rule was that whoever knew the least got to ask first. What I would bring into CTC is that habit of making the entry cost low.","Dear Professor Diallo,

Thank you for teaching me that ""good enough, shipped"" beats ""perfect, someday"". You told me once, fairly bluntly, that I was hiding behind how much I had read. It was the most useful unkind thing anyone has said to me. I did not understand why it mattered until much later, when I caught myself doing it without deciding to.

— Yara","I built a scheduling tool for the volunteer tutoring programme I coordinate. Swift for the app, and a Raspberry Pi doing something it was not designed for. I learned that the optimal schedule was the one everybody hated, because I had optimised for the wrong thing. I want to learn how to scope a project so it can ship in a semester.",I would talk about the surprisingly bitter world of competitive crossword construction. I have given a version of this at a dinner table and it worked.,"CSCI 356, PSYC 314, CSCI 360, CSCI 201, CSCI 103; tutoring ~4 hrs/week"
8/1/2026 10:22:34,theo.marchetti@usc.edu,6630436769,Théo Marchetti,"Computer Science, Linguistics",Design,2028,he/him/his,Prefer not to say,White,https://drive.google.com/open?id=1TA__fvI9dqeWSPP3MwOyJ4mzD5z-ATI2,,Developer,"The problem I picked is e-waste from campus upgrades, which sounds minor until you count how many hours it costs the people carrying it. I spent last summer working somewhere it was impossible to ignore, and the pattern was always the same: the people closest to it had known about it for years and had never been asked. I built a spreadsheet, then an actual tool, that matches donations to need. It took about six weeks before anyone used it without being asked, and that was the real milestone rather than the day it worked. What I learned is that the most consequential decision in a project like this is usually not a technical one.","The community that shaped me most was a 6am swim squad nobody else wanted to join, mostly because it was bad at hierarchy. The whole thing ran on Sunday evenings, which meant everyone there had chosen it over something easier. It ran on a hundred small favours nobody kept score of. What I would bring to CTC is the unglamorous maintenance that keeps a community alive: the reminder message, the booked room, the noticing that somebody has gone quiet.","Dear Professor Novak,

Thank you for teaching me that being the least experienced person in a room is a resource, not a liability. The specific moment I keep returning to is the afternoon I handed in something I knew was mediocre, and instead of grading it you asked me what I would change if I had another week. I did not have an answer, which was the point. I think about it more than almost anything else I was formally taught, and I have started passing it on badly, which I am told is how these things travel. I do not think you would remember any of this, which is sort of the point — it cost you very little and it rearranged how I work.

— Théo","I built a screen reader plugin I shipped to roughly 60 users. Mostly Python and Postgres, with enough React to be dangerous. The useful part was sitting with the people using it rather than asking them what they wanted in the abstract. I am eager to learn more about accessibility work and about testing that is actually worth maintaining.","I would talk about how to fold a fitted sheet, performed live and with stakes. It is the only thing I can talk about for ten minutes with no notes. The best part is the bit where everyone realises they have been doing it wrong for years.","CSCI 201, PSYC 314, DSCI 351, MATH 225; marching band ~10 hrs/week"
8/1/2026 13:20:07,sekou.bourdon@usc.edu,4838121825,Sekou Bourdon,Electrical Engineering,Spanish,2027,she/her/hers,Female,White,https://drive.google.com/open?id=1l1zZ_TLzYT5d_HNK03h6-EHKLqb2SDwa,https://www.linkedin.com/in/sekoubourdon/,Designer,"I got interested in how few girls stayed in my school's robotics club through a job I took for the money and stayed in for other reasons. I had assumed somebody upstream was handling it. Nobody was, and the reason nobody was is that it belonged to no single person's job description. I ran a pilot with one classroom before asking the district for anything. I learned that a solution nobody adopts is worth less than no solution at all.","The community I belonged to was a mutual aid group that started as a group chat, and it took me a year to notice it had become one. People turned up for each other's unrelated stuff — recitals, matches, one memorably grim moving day — and that is the part I did not appreciate until it stopped. It was the first place where being confused out loud was normal. I would like to bring the part where the newest person is asked first.","Dear Coach Serrano,

Thank you for teaching me that I was allowed to start things without permission. You gave me a job that was slightly too hard on purpose and then made it obvious you were nearby. I have never had a better arrangement. I did not understand why it mattered until much later, when I caught myself doing it without deciding to.

— Sekou","I built a browser extension that strips recommendation feeds, now used by about 2,000 people. Java and C++ from coursework, Python and Django for anything I choose myself. The lesson was about adoption, not analysis: the first version had a 30% false positive rate and people turned it off inside a week. I am eager to learn more about accessibility work and about testing that is actually worth maintaining.",I would talk about an eight-minute history of the shipping container. I want an excuse to finally make the slides.,"DSCI 351, MATH 225, CSCI 201; intramural volleyball ~3 hrs/week"
8/1/2026 14:07:43,marta.pereira2@usc.edu,9194029455,Marta Pereira,Business Administration,Public Health,2028,he/him/his,Male,Native Hawaiian or Other Pacific Islander,https://drive.google.com/open?id=1BR4jJRNkU0fOanm09RFkpt_n3fnfb0QO,https://www.linkedin.com/in/martapereira/,Developer,"The problem I keep coming back to is digital literacy for older adults, mostly because I watched it up close. I spent last summer working somewhere it was impossible to ignore, and the pattern was always the same: the people closest to it had known about it for years and had never been asked. I rebuilt their intake form so it stopped losing half the submissions. What I learned was that the technical part was never the hard part.","I found it in the overnight shift at a campus radio station, which is not where I expected to find it. I joined because a friend dragged me and stayed because within a month three people had asked me to explain something and taken the answer seriously. It was the first place where being confused out loud was normal. What I would bring into CTC is that habit of making the entry cost low.","Dear Ms. Guerrero,

Thank you for teaching me that I was allowed to start things without permission. There was a week where I was clearly out of my depth and you neither rescued me nor let me drown, which I now understand took actual restraint. I did not understand why it mattered until much later, when I caught myself doing it without deciding to.

— Marta","I built a screen reader plugin I shipped to roughly 60 users. Go for the service, Figma for the parts I should not have been trusted with. The useful part was sitting with the people using it rather than asking them what they wanted in the abstract. I am keen to work on something with real users and real consequences for once.",I would talk about the surprisingly bitter world of competitive crossword construction. It is the only thing I can talk about for ten minutes with no notes.,"CSCI 104, BUAD 304, CSCI 170, ITP 259; research assistantship ~8 hrs/week"
8/1/2026 18:39:15,chiara.diallo@usc.edu,7326535740,Chiara Diallo,Industrial and Systems Engineering,Music Recording,2030,he/him/his,Male,Asian,https://drive.google.com/open?id=1rstCFnK70bMf9rR42nbTWjG-cVPI-BEa,https://www.linkedin.com/in/chiaradiallo/,Designer,"The problem I keep coming back to is transit deserts near campus, mostly because I watched it up close. I spent last summer working somewhere it was impossible to ignore, and the pattern was always the same: the people closest to it had known about it for years and had never been asked. I interviewed fourteen people before I wrote a single line of code. The lesson was that I should have asked the people doing the work before designing anything.","I found it in my high school's stage crew, which is not where I expected to find it. I joined because a friend dragged me and stayed because within a month three people had asked me to explain something and taken the answer seriously. People stayed after to clean up without anyone organising it. The thing worth carrying over is that nobody there performed competence they did not have.","Dear Dr. Sokolov,

Thank you for teaching me that the person who asks the naive question is doing everyone a favour. The specific moment I keep returning to is the afternoon I handed in something I knew was mediocre, and instead of grading it you asked me what I would change if I had another week. I did not have an answer, which was the point. I did not understand why it mattered until much later, when I caught myself doing it without deciding to.

— Chiara","I built a scheduling tool for the volunteer tutoring programme I coordinate. TypeScript, a lot of SQL, and more shell scripting than I expected. The lesson was about adoption, not analysis: the first version had a 30% false positive rate and people turned it off inside a week. I want to get better at systems design and at reading other people's code quickly.",I would talk about how to sight-read music badly but confidently. I have given a version of this at a dinner table and it worked.,"EE 109, CSCI 104, ITP 259, CSCI 360; part-time job ~12 hrs/week"
8/1/2026 19:08:22,lucas.nasser@usc.edu,5175676061,Lucas Nasser,Applied and Computational Mathematics,Human-Centered Design,2027,she/her/hers,Female,Asian,https://drive.google.com/open?id=106qikTf4PHlVKYpcJKo9iFMVH3hy11d-,,Developer,"E-waste from campus upgrades is small compared to what people usually write about here, which is exactly why nobody had fixed it. I spent last summer working somewhere it was impossible to ignore, and the pattern was always the same: the people closest to it had known about it for years and had never been asked. I organised a workshop and eleven people came to the first one. It taught me to make the first version much smaller than I wanted to.","The community I belonged to was a robotics team that met in a borrowed garage, and it took me a year to notice it had become one. We had almost nothing. One working laptop, a whiteboard somebody had rescued from a skip, and a standing agreement that you cleaned up whether or not it was your mess. We shared tools and, more importantly, shared credit. The thing worth carrying over is that nobody there performed competence they did not have.","Dear Coach Solberg,

Thank you for teaching me how to disagree with someone without making it about them. The specific moment I keep returning to is the afternoon I handed in something I knew was mediocre, and instead of grading it you asked me what I would change if I had another week. I did not have an answer, which was the point. I did not understand why it mattered until much later, when I caught myself doing it without deciding to.

— Lucas","I built a browser extension that strips recommendation feeds, now used by about 2,000 people. TypeScript, a lot of SQL, and more shell scripting than I expected. The useful part was sitting with the people using it rather than asking them what they wanted in the abstract. I am keen to work on something with real users and real consequences for once.",I would talk about why my hometown has three names. Everyone thinks they already know this and nearly everyone is wrong.,"MATH 226, CSCI 104; club soccer ~6 hrs/week"
8/1/2026 22:18:35,clara.pereira@usc.edu,1619195014,Clara Pereira,Business Administration,Music Recording,2027,she/her/hers,Male,Asian,https://drive.google.com/open?id=1rrzT2F1dGKBWPKm0qvDYHWBOkRF16Xox,https://www.linkedin.com/in/clarapereira/,Designer,The problem I would pick is how hard it is to find mental health care. I want to keep working on things like this.,I felt like I belonged to a robotics team that met in a borrowed garage. I hope to bring that energy to CTC.,"Dear Coach Diallo,

Thank you for teaching me that the person who asks the naive question is doing everyone a favour. It mattered to me.

— Clara","I built a parser for a niche scientific file format, now with eight regular bug reporters. I am keen to work on something with real users and real consequences for once.","I would talk about how to read a subway map, and why almost every city gets it wrong. It is interesting.","EE 109, MATH 225; another club board position ~5 hrs/week; part-time job ~12 hrs/week"
8/2/2026 0:29:24,ingrid.silva@usc.edu,7906048491,Ingrid Silva,Business Administration,Social Entrepreneurship,2029,she/her/hers,Female,Black or African American,https://drive.google.com/open?id=1ohNg8NO4f5lGo3E9N2LslgYhJccp2bm3,,Developer,"E-waste from campus upgrades is small compared to what people usually write about here, which is exactly why nobody had fixed it. What made it stick was realising that everybody involved was competent and well-meaning and it still did not work, which meant the problem was structural rather than anybody's fault. I ran a pilot with one classroom before asking the district for anything. The lesson was that I should have asked the people doing the work before designing anything.","I found it in a church youth orchestra with no conductor, which is not where I expected to find it. I joined because a friend dragged me and stayed because within a month three people had asked me to explain something and taken the answer seriously. Nobody there cared what I was good at yet, only whether I showed up. What I would bring into CTC is that habit of making the entry cost low.","Dear Ms. Nasser,

Thank you for teaching me that I should write the thing down before I believe I understand it. There was a week where I was clearly out of my depth and you neither rescued me nor let me drown, which I now understand took actual restraint. I did not understand why it mattered until much later, when I caught myself doing it without deciding to.

— Ingrid","I built a compiler for a small statically typed language, continued well past the course. Mostly Python and Postgres, with enough React to be dangerous. What surprised me was the maintenance cost; I had thought of shipping as the finish line. I want to learn how to scope a project so it can ship in a semester.",I would talk about why every restaurant menu is designed badly on purpose. I want an excuse to finally make the slides.,"MATH 225, CSCI 103, MATH 407, CSCI 360, MATH 226; tutoring ~4 hrs/week"
8/2/2026 2:12:06,niko.adeyemi@usc.edu,6896817715,Niko Adeyemi,Computer Engineering and Computer Science,Computer Programming,2029,he/him/his,Female,Prefer not to say,https://drive.google.com/open?id=18Eb9w3Jth7YT-mKwS88-csnxIxVvBnFS,https://www.linkedin.com/in/nikoadeyemi/,Product Manager,"I did not expect to care about how volunteer tutoring gets matched, and then I spent a summer close to it. I had assumed somebody upstream was handling it. Nobody was, and the reason nobody was is that it belonged to no single person's job description. I started a weekly pickup that routes leftovers to a shelter downtown. I learned that a solution nobody adopts is worth less than no solution at all.","The community I belonged to was a Discord server for a game that died years ago, and it took me a year to notice it had become one. People turned up for each other's unrelated stuff — recitals, matches, one memorably grim moving day — and that is the part I did not appreciate until it stopped. People stayed after to clean up without anyone organising it. The thing worth carrying over is that nobody there performed competence they did not have.","Dear Mr. Tanaka,

Thank you for teaching me how to disagree with someone without making it about them. I remember you stopping a whole session because one person had not followed, and doing it in a way that made it obvious the fault was in the explanation rather than in them. I have tried to run every meeting I lead like that since. I did not understand why it mattered until much later, when I caught myself doing it without deciding to.

— Niko","I built a static analysis pass that flags database queries inside loops. Swift for the app, and a Raspberry Pi doing something it was not designed for. What surprised me was the maintenance cost; I had thought of shipping as the finish line. I am keen to work on something with real users and real consequences for once.","I would talk about how to fold a fitted sheet, performed live and with stakes. I have given a version of this at a dinner table and it worked.","CSCI 356, MATH 407, CSCI 170, CSCI 103; part-time job ~12 hrs/week"
8/2/2026 3:45:54,santiago.khan@usc.edu,4698685253,Santiago Khan,Cognitive Science,Social Entrepreneurship,2029,they/them/theirs,Female,White,https://drive.google.com/open?id=1fd40m5WXtJ7xv6wpy3DiOwxDAQUNOv5E,https://www.linkedin.com/in/santiagokhan/,Developer,"Digital literacy for older adults is small compared to what people usually write about here, which is exactly why nobody had fixed it. It is the kind of problem that never becomes urgent enough to fix, so it just quietly costs people hours every week forever. I built a spreadsheet, then an actual tool, that matches donations to need. I learned that a solution nobody adopts is worth less than no solution at all.","I found it in a community garden run entirely by retirees and me, which is not where I expected to find it. We had almost nothing. One working laptop, a whiteboard somebody had rescued from a skip, and a standing agreement that you cleaned up whether or not it was your mess. We shared tools and, more importantly, shared credit. The thing worth carrying over is that nobody there performed competence they did not have.","Dear Ms. Guerrero,

Thank you for teaching me that the person who asks the naive question is doing everyone a favour. You told me once, fairly bluntly, that I was hiding behind how much I had read. It was the most useful unkind thing anyone has said to me. I did not understand why it mattered until much later, when I caught myself doing it without deciding to.

— Santiago","I built a model predicting missed clinic appointments, so patients could be called the day before. Java and C++ from coursework, Python and Django for anything I choose myself. The useful part was sitting with the people using it rather than asking them what they wanted in the abstract. I want to get better at systems design and at reading other people's code quickly.",I would talk about the surprisingly bitter world of competitive crossword construction. I want an excuse to finally make the slides.,"CSCI 270, CSCI 201, CSCI 360, MATH 407; research assistantship ~8 hrs/week"
